date;home_team;home_score;away_score;away_team;tournament;winner;phase_final;home_team_pourcentage_victoire;home_team_but_mis;home_team_but_enc;away_team_pourcentage_victoire;away_team_but_mis;away_team_but_enc;Rang_home_team;Rang_away_team;Host
1933;Netherlands;1;2;Hungary;0;0;0;40;1.4;1.4;35.29;1.6;1.9;;;1
1933;Switzerland;3;3;Belgium;0;1;0;29.41;1.7;2.3;26.67;1.7;3.1;;;1
1933;Germany;3;3;France;0;1;0;54.55;2.5;1.5;21.43;1.8;2.9;;;1
1933;Hungary;2;0;Czechoslovakia;0;2;0;35.29;1.6;1.9;42.86;1.6;1.8;;;1
1933;France;3;0;Belgium;0;2;0;21.43;1.8;2.9;26.67;1.7;3.1;;;1
1933;Scotland;2;1;England;0;2;0;37.5;2;2.1;60;2.2;0.9;;;1
1933;Spain;3;0;Portugal;0;2;0;60;3.8;0.6;66.67;1.3;1.7;;;1
1933;Switzerland;0;3;Italy;0;0;0;29.41;1.7;2.3;69.23;2.3;1.1;;;1
1933;Austria;1;2;Czechoslovakia;0;0;0;56.25;3;1.6;42.86;1.6;1.8;;;1
1933;Belgium;1;3;Netherlands;0;0;0;26.67;1.7;3.1;40;1.4;1.4;;;1
1933;France;1;0;Spain;0;2;0;21.43;1.8;2.9;60;3.8;0.6;;;1
1933;Hungary;1;1;Austria;0;1;0;35.29;1.6;1.9;56.25;3;1.6;;;1
1933;Yugoslavia;1;1;Spain;0;1;0;37.5;2.2;2.2;60;3.8;0.6;;;1
1933;Italy;2;0;Czechoslovakia;0;2;0;69.23;2.3;1.1;42.86;1.6;1.8;;;1
1933;Netherlands;1;2;Belgium;0;0;0;40;1.4;1.4;26.67;1.7;3.1;;;1
1933;Switzerland;4;1;Yugoslavia;0;2;0;29.41;1.7;2.3;37.5;2.2;2.2;;;1
1933;Italy;1;1;England;0;1;0;69.23;2.3;1.1;60;2.2;0.9;;;1
1933;Switzerland;0;4;England;0;0;0;29.41;1.7;2.3;60;2.2;0.9;;;1
1933;Spain;13;0;Bulgaria;0;2;0;60;3.8;0.6;54.55;1.7;3.3;;;1
1933;France;1;1;Wales;0;1;0;21.43;1.8;2.9;57.14;2.3;1.1;;;1
1933;Greece;3;5;Yugoslavia;0;0;0;0;1;3.3;37.5;2.2;2.2;;;1
1933;Poland;0;1;Belgium;0;0;0;66.67;2.1;1;26.67;1.7;3.1;;;1
1933;Romania;7;0;Bulgaria;0;2;0;50;3;1.9;54.55;1.7;3.3;;;1
1933;Australia;4;2;New Zealand;0;2;0;100;4.7;2.7;0;2.7;4.7;;;1
1933;Bulgaria;0;4;Yugoslavia;0;0;0;54.55;1.7;3.3;37.5;2.2;2.2;;;1
